game_rom	RAINE_v0.51.0	1944j	nff.14m	nff.14m	\N	1048576	3fe3a54b	0a8e5cae141d24fd8b3cb11796c44728b0acd69e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944j	nff.16m	nff.16m	\N	1048576	565cd231	0aecd433fb4ca2de1aca9fbb1e314fb1f6979321	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944j	nff.18m	nff.18m	\N	1048576	63ca5988	30137fa77573c84bcc24570bccb7dba61ddb413c	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944j	nff.20m	nff.20m	\N	1048576	21eb8f3b	efa69f19a958047dd91a294c88857ed3133fcbef	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944j	nff.11m	nff.11m	\N	4194304	243e4e05	83281f7290ac105a3f9a7507cbc11317d45ba706	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944j	nff.12m	nff.12m	\N	4194304	4fcf1600	36f18c5d92b79433bdf7088b29a244708929d48e	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	1944j	1944j	
game	RAINE_v0.51.0	1944d	\N	\N	1944	1944	\N	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)	2000	Bootleg	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nffud.03	\N	\N	524288	28e8aae4	b2ae11bddbf156cbf38eafdc705067bff9256752	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.04	nff.04	\N	524288	dba1c66e	4764e77d4da5d19d9acded27df1e1bcba06b0fcf	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nffu.05	nffu.05	\N	524288	ea813eb7	34e0175a5f22d08c3538369b4bfd077a7427a128	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.01	nff.01	\N	131072	d2e44318	33e45f6fe9fed098a4c072b8c39406aef1a949b2	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.13m	nff.13m	\N	4194304	c9fca741	1781d4fc18b6d6f79b7b39d9bcace750fb61a5cf	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.15m	nff.15m	\N	4194304	f809d898	a0b6af49e1780678d808c317b875161cedddb314	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.17m	nff.17m	\N	4194304	15ba4507	bed6a82bf1dc1aa501d4c2d098115a15e18d446a	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.19m	nff.19m	\N	4194304	3dd41b8c	676078baad789e25f6e5a79de29672587be7ff00	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.14m	nff.14m	\N	1048576	3fe3a54b	0a8e5cae141d24fd8b3cb11796c44728b0acd69e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.16m	nff.16m	\N	1048576	565cd231	0aecd433fb4ca2de1aca9fbb1e314fb1f6979321	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.18m	nff.18m	\N	1048576	63ca5988	30137fa77573c84bcc24570bccb7dba61ddb413c	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.20m	nff.20m	\N	1048576	21eb8f3b	efa69f19a958047dd91a294c88857ed3133fcbef	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.11m	nff.11m	\N	4194304	243e4e05	83281f7290ac105a3f9a7507cbc11317d45ba706	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944d	nff.12m	nff.12m	\N	4194304	4fcf1600	36f18c5d92b79433bdf7088b29a244708929d48e	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	1944d	1944d	
game	RAINE_v0.51.0	1944	\N	\N	\N	\N	\N	1944: The Loop Master (USA 000620)	2000	Raizing	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nffu.03	\N	\N	524288	9693cf8f	c296cb008e282f77b44374d1c3638a3f4d5d5d4e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.04	\N	\N	524288	dba1c66e	4764e77d4da5d19d9acded27df1e1bcba06b0fcf	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nffu.05	\N	\N	524288	ea813eb7	34e0175a5f22d08c3538369b4bfd077a7427a128	\N	\N	\N	\N	\N	\N	
