game	Gekko_Teaser	nam_1975	\N	\N	\N	\N	\N	NAM-1975	1990	SNK	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_p1.rom	\N	\N	524288	cc9fc951	92f4e6ddeeb825077d92dbb70b50afea985f15c0	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_s1.rom	\N	\N	65536	8ded55a5	27c8ffac16fbcc19c843d1b5b47ae8d8ef83d44a	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	neo-geo.rom	\N	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c1.rom	\N	\N	524288	32ea98e1	c2fb3fb7dd14523a4b4b7fbdb81f44cb4cc48239	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c2.rom	\N	\N	524288	cbc4064c	224c970fd060d841fd430c946ef609bb57b6d78c	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c3.rom	\N	\N	524288	0151054c	f24fb501a7845f64833f4e5a461bcf9dc3262557	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c4.rom	\N	\N	524288	0a32570d	f108446ec7844fde25f7a4ab454f76d384bf5e52	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c5.rom	\N	\N	524288	90b74cc2	89898da36db259180e5261ed45eafc99ca13e504	\N	\N	\N	\N	\N	\N	
game_rom	Gekko_Teaser	nam_1975	nam_c6.rom	\N	\N	524288	e62bed58	d05b2903b212a51ee131e52c761b714cb787683e	\N	\N	\N	\N	\N	\N	
