game	QSound_Player_v2	wof	\N	\N	\N	\N	\N	Warriors of Fate [sound only]	1992	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	punish	ps_q4.rom	\N	\N	524288	bed42f03	21302f7e75f9c795392a3b34e16a959fc5f6e4e9	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	sfxj	\N	\N	\N	\N	\N	Super Street Fighter 2 X: Grand Master Challenge [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	sfxj	sfx_01.bin	\N	\N	131072	b47b8835	c8b2d50fe3a329bd0592ea160d505155d873dab1	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfxj	sfx_02.bin	\N	\N	131072	0022633f	cab3afc79da53e3887eb1ccd1f4d19790728e6cd	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfxj	sfx_s11.bin	\N	\N	2097152	9bdbd476	a8520f77f30b97aae36408e0c4ca1ebbde1808a5	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfxj	sfx_s12.bin	\N	\N	2097152	a05e3aab	d4eb9cae66c74e956569fea8b815156fbd420f83	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	vmj	\N	\N	\N	\N	\N	Vampire: The Night Warriors [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	vmj	vm_01.bin	\N	\N	131072	64b685d5	6c180e7420db754eca5cad17a40f5a64f5c3bd15	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vmj	vm_02.bin	\N	\N	131072	cf7c97c7	109a4b56ecd59be9c3f5869de99d40619bdaef21	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vmj	vm_s11.bin	\N	\N	2097152	4a39deb2	7e63e615869958db66a4e52a0272afee5a10e446	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vmj	vm_s12.bin	\N	\N	2097152	1a3e5c03	c5a556e125d6c3d68da745b4d56cd7a851f2a23d	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	sfzj	\N	\N	\N	\N	\N	Street Fighter Zero [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	sfzj	sfz_01.bin	\N	\N	131072	ffffec7d	75b4aef001b72a0f571b51b2b97803facc1832dd	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfzj	sfz_02.bin	\N	\N	131072	45f46a08	e32dbd27b52ab708278045b5a829376e55a4ca81	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfzj	sfzj_s11.bin	\N	\N	2097152	c4b093cd	256526bb693a0b72443f047e060304c9b739acd1	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfzj	sfzj_s12.bin	\N	\N	2097152	8bdbc4b4	0e21c9a75a17a7e7dfd8bb51098c2b9dc4c933ec	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	msh	\N	\N	\N	\N	\N	Marvel Super Heroes [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	msh	msh.1	\N	\N	131072	c976e6f9	281025e5aaf97c0aeddc8bd0f737d092daadad9e	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	msh	msh.2	\N	\N	131072	ce67d0d9	324226597cc5a11603f04085fef7715a314ecc05	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	msh	msh.11	\N	\N	2097152	37ac6d30	ec67421fbf4a08a686e76792cb35e9cbf04d022d	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	msh	msh.12	\N	\N	2097152	de092570	a03d0df901f6ea79685eaed67db65bee14ec29c6	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	xmencota	\N	\N	\N	\N	\N	X-Men: Children of the Atom [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	xmencota	xcota.1	\N	\N	131072	40f479ea	f29e15f537675305264ae2138a0a537fb9e2008b	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	xmencota	xcota.2	\N	\N	131072	39d9b5ad	af502debfd36100d4fc971ed25fdf9d7121d6f18	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	xmencota	xcota.11	\N	\N	2097152	c848a6bc	ac8ac564d3c43225822f8bc330eba9f35b24b0a4	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	xmencota	xcota.12	\N	\N	2097152	729c188f	3279774ad8aebbcf0fc779cdfcbe21044dd192ad	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	mvscap	\N	\N	\N	\N	\N	Marvel Super Heroes vs. Capcom: Clash of Super Heroes [sound only]	1998	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.1	\N	\N	131072	41629e95	36925c05b5fdcbe43283a882d021e5360c947061	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.2	\N	\N	131072	963abf6b	6b784870e338701cefabbbe4669984b5c4e8a9a5	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.11a	\N	\N	2097152	1bab466f	342a27c280e8272171c7c3d83dc580a647721ddf	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.11b	\N	\N	2097152	c2e8c3dc	0527a227f5cd0fb2ed3658d983f63c4e9174fd6b	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.12a	\N	\N	2097152	f255dccb	a32b321d9a7680c778af58db6c64c2a546ab236b	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	mvscap	mvsc.12b	\N	\N	2097152	d1583593	a5ce50313eb9c57ad39a9b28adf8c40d7877cfd7	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	vsavior	\N	\N	\N	\N	\N	Vampire Savior: The Lord of Vampire [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.1	\N	\N	131072	f778769b	788ce1ad8a322179f634df9e62a31ad776b96762	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.2	\N	\N	131072	cc09faa1	2962ef0ceaf7e7279de3c421ea998763330eb43e	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.11a	\N	\N	2097152	f2b92cff	98a667aa04b5b5eb8606ac7242b96c2cc082b219	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.11b	\N	\N	2097152	7927e272	615ae32dbc900d827e6980e4568495882bc41e1a	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.12a	\N	\N	2097152	51564e82	bece596798203841c1f5680e32f2abdfc30d49f9	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vsavior	vsavior.12b	\N	\N	2097152	c80293e6	2169a815c145840b8bc1432667c54902ab84a6d1	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	vm3j	\N	\N	\N	\N	\N	Vampire Savior: The Lord of Vampire (Japan) [sound only]	1997	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	vm3j	vm3_01.bin	\N	\N	131072	f778769b	788ce1ad8a322179f634df9e62a31ad776b96762	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vm3j	vm3_02.bin	\N	\N	131072	cc09faa1	2962ef0ceaf7e7279de3c421ea998763330eb43e	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vm3j	vm3_s11.bin	\N	\N	4194304	e80e956e	74181fca4b764fb3c56ceef2cb4c6fd6c18ec4b6	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vm3j	vm3_s12.bin	\N	\N	4194304	9cd71557	7059db25698a0b286314c5961c618f6d2e6f24a1	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	sfz2j	\N	\N	\N	\N	\N	Street Fighter Zero 2 [sound only]	1996	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	sfz2j	sz2_01a.bin	\N	\N	131072	1bc323cf	83fbd6e9b327700dc9f1c59700b7385bc3705749	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfz2j	sz2_02a.bin	\N	\N	131072	ba6a5013	7814f3e56b69529b9860dd61c3b1e8d700244b03	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfz2j	sz2j_s11.bin	\N	\N	2097152	aa47a601	a4d1ee89c84a3b9db06469bb66e85293b5aa9ac9	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfz2j	sz2j_s12.bin	\N	\N	2097152	2237bc53	96d5693047e4cf1ed10a8ee1905cea267a278e92	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	vphj	\N	\N	\N	\N	\N	Vampire Hunter: DarkStalkers Revenge [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	vphj	vph_01.bin	\N	\N	131072	5045dcac	fd1a6586fbdd48a707df1fa52309b4cf50e3cc4c	\N	\N	\N	\N	\N	\N	
